,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,5,1,3,0,2,0,3,1,6,0,6,1
1,110037,0,0,0,0,0,0,0,1,2,0,1,0,0,0
2,110040,0,0,0,1,3,5,2,2,4,2,1,1,4,1
3,110034,0,1,1,0,0,0,0,2,0,1,0,0,3,1
4,110002,0,5,13,21,14,14,13,16,13,10,10,10,6,0
5,110045,0,3,5,7,4,2,4,9,5,5,2,3,2,0
6,110003,1,1,0,0,0,1,0,0,0,0,0,0,0,0
7,110060,0,1,0,0,2,1,0,2,1,3,4,4,3,0
8,110004,1,7,8,26,10,15,21,10,12,6,11,6,14,6
9,110070,0,1,0,1,42,53,70,34,22,12,16,25,17,0
10,110080,0,0,5,5,1,1,1,0,1,4,1,4,3,0
11,110090,0,0,0,0,0,0,0,1,0,0,0,0,0,1
12,110005,0,0,2,0,5,2,0,0,1,0,0,1,3,0
13,110006,0,1,3,1,1,0,0,1,0,0,0,2,1,1
14,110007,0,0,0,5,5,2,0,1,0,0,0,0,0,0
15,110008,0,0,1,0,1,1,6,6,0,0,2,1,2,1
16,110094,0,1,0,0,2,3,4,4,0,0,4,3,1,1
17,110009,1,2,2,0,0,0,0,4,2,3,1,5,0,0
18,110100,0,0,1,0,1,0,0,1,1,1,1,0,0,0
19,110010,0,3,5,2,4,4,6,3,7,3,29,14,11,1
20,110110,0,0,0,0,0,0,0,3,2,1,1,0,0,0
21,110011,0,5,7,11,8,6,6,7,8,10,8,6,4,2
22,110012,0,17,14,16,10,11,22,25,34,8,12,11,4,2
23,110013,0,5,1,2,7,3,2,6,11,4,12,7,4,0
24,110120,0,2,7,0,0,1,2,0,0,0,0,0,0,0
25,110130,1,2,2,2,0,0,0,1,0,0,0,0,2,0
26,110140,0,3,6,1,61,43,4,8,2,1,1,3,1,0
27,110014,0,48,37,48,32,28,52,16,0,9,4,1,3,0
28,110033,0,1,0,1,0,2,1,4,2,1,9,3,0,0
29,110143,0,0,1,0,0,0,0,2,1,0,0,0,0,0
30,110050,0,22,6,2,1,1,2,2,0,0,2,1,2,0
31,110015,0,3,3,6,1,2,2,7,2,4,2,3,1,1
32,110145,0,0,0,0,0,0,1,1,2,0,0,0,0,0
33,110018,0,1,0,0,1,0,4,6,0,0,3,1,3,1
34,110020,0,19,45,67,95,84,76,50,45,62,68,75,42,8
35,110025,0,0,1,1,6,4,4,1,1,0,2,3,2,0
36,110147,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,110026,0,1,0,0,1,0,1,1,0,1,0,0,0,0
38,110028,0,0,8,9,12,13,7,8,10,11,8,4,8,2
39,110029,0,0,7,0,2,2,5,0,0,0,1,0,4,2
40,110148,0,0,0,0,2,0,0,0,0,0,1,0,0,0
41,110149,0,0,2,1,0,1,4,12,3,8,2,1,0,0
42,110032,0,6,12,25,29,17,9,1,6,13,9,3,4,3
43,110150,0,1,0,0,7,5,2,1,0,1,1,0,4,0
44,110155,0,1,0,1,0,0,0,0,0,0,1,0,0,0
45,110160,0,1,1,0,0,0,2,1,1,0,1,3,0,0
46,110170,0,1,1,0,0,1,1,3,3,0,1,1,0,0
47,110175,0,0,0,0,0,1,0,1,0,0,0,0,1,0
48,110180,1,0,0,0,0,0,0,0,0,4,5,1,0,0
49,110030,1,0,2,2,3,3,1,0,0,4,4,6,3,0
