,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,1,3,3,0,1,2,1,1,5,3,3,1
1,110037,0,0,3,1,1,2,3,1,1,1,1,1,1,0
2,110040,0,4,1,5,6,7,6,3,8,3,3,2,1,0
3,110034,0,2,1,3,1,0,0,1,2,0,1,4,1,0
4,110002,0,8,10,16,25,32,33,48,25,31,25,23,8,2
5,110045,0,2,2,2,6,7,2,6,4,4,3,2,4,0
6,110003,0,0,3,0,1,2,2,3,0,0,2,1,1,1
7,110060,0,0,0,1,1,1,0,1,1,1,0,1,0,0
8,110004,0,25,10,11,11,21,21,29,10,8,10,13,19,8
9,110070,0,1,0,1,1,3,1,5,1,1,1,0,0,0
10,110080,0,0,3,4,1,0,2,3,2,1,1,2,0,1
11,110090,0,0,0,1,0,0,0,1,0,1,1,1,0,0
12,110005,0,6,3,0,1,4,4,8,2,6,1,3,4,1
13,110092,0,5,0,1,1,7,2,2,4,0,2,0,0,0
14,110006,0,2,4,2,5,3,2,8,1,1,2,9,4,2
15,110007,0,3,0,0,1,3,2,5,3,2,1,1,1,0
16,110008,0,1,2,1,0,0,0,0,0,0,2,1,1,0
17,110094,0,0,1,2,3,3,3,0,2,1,5,2,0,0
18,110009,0,2,5,5,2,4,8,3,2,6,5,4,2,1
19,110100,0,0,0,0,0,1,0,0,0,1,0,0,0,0
20,110010,0,0,1,1,1,0,0,1,4,1,0,2,1,0
21,110110,0,1,0,0,0,0,0,0,1,1,1,0,0,0
22,110011,0,1,4,3,3,4,2,1,1,0,3,1,0,1
23,110012,1,21,22,14,5,12,8,11,10,6,10,5,11,1
24,110013,0,2,3,4,3,7,5,2,2,4,1,3,2,0
25,110120,0,2,0,3,0,1,2,1,1,2,1,1,2,0
26,110130,0,0,1,1,0,0,0,0,1,0,0,0,3,0
27,110140,0,0,2,2,1,3,1,6,1,1,2,1,0,1
28,110014,0,3,2,1,0,3,0,0,0,0,0,2,1,0
29,110033,0,0,1,1,0,3,6,2,1,1,1,1,1,0
30,110143,0,1,0,1,0,2,0,0,0,1,1,0,0,0
31,110050,0,1,0,0,1,0,0,0,0,3,0,0,1,0
32,110015,0,7,3,1,1,0,1,0,0,1,1,2,6,0
33,110145,0,0,0,0,0,2,1,0,1,1,2,0,1,0
34,110018,0,6,6,2,6,3,3,4,1,2,5,1,3,2
35,110146,0,2,0,0,1,0,1,1,1,1,0,1,1,0
36,110020,1,8,22,32,16,23,25,27,30,16,22,15,22,4
37,110025,0,0,1,0,2,0,2,1,1,1,2,3,0,0
38,110147,0,0,0,0,0,1,1,1,0,0,1,0,2,0
39,110026,0,0,1,0,3,1,0,0,0,0,1,0,0,0
40,110028,1,2,1,3,8,4,4,2,1,7,6,7,9,1
41,110029,0,0,1,0,1,0,0,1,1,1,0,2,0,1
42,110148,0,0,1,0,2,0,1,0,0,0,1,0,1,0
43,110149,0,1,0,0,0,0,1,2,3,0,5,1,2,0
44,110032,0,2,2,2,3,5,2,5,1,2,0,2,0,0
45,110150,1,2,4,1,1,1,1,5,0,1,5,2,2,2
46,110155,0,0,1,0,0,0,0,1,0,0,0,0,0,0
47,110160,0,2,2,2,1,0,0,0,0,1,0,0,0,1
48,110170,0,1,2,1,1,1,0,0,0,1,1,0,2,0
49,110175,0,0,0,0,1,0,1,0,0,0,0,2,0,0
50,110180,0,0,1,0,1,0,0,1,0,0,0,1,1,0
51,110030,0,26,16,11,10,23,20,23,21,21,24,31,33,13
52,120001,0,0,1,0,0,0,0,0,1,0,0,0,0,0
53,120005,0,0,0,1,0,0,0,0,1,0,1,1,0,0
54,120010,0,1,0,3,1,0,1,0,1,1,2,1,2,0
55,120013,0,0,0,0,0,0,0,1,0,0,1,0,1,0
56,120020,0,6,13,19,9,10,0,5,0,8,12,15,10,8
57,120025,0,0,0,0,0,0,0,0,0,1,0,0,2,0
58,120030,0,2,0,0,0,0,0,2,0,0,0,2,3,1
59,120032,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,120033,0,2,1,2,0,3,0,0,0,2,1,6,2,1
61,120034,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,120035,0,1,1,3,0,0,0,0,0,3,1,2,1,0
63,120038,0,1,0,0,0,0,0,0,0,1,0,0,3,1
64,120080,0,1,1,0,0,1,0,0,0,0,2,0,1,0
65,120039,0,0,0,0,1,1,0,0,0,2,1,0,0,1
66,120040,1,11,5,8,11,12,5,15,15,16,12,13,11,5
67,120042,0,1,2,3,2,1,0,0,1,1,2,3,2,1
68,120043,0,0,0,0,0,0,0,1,0,1,0,1,0,0
69,120050,0,0,2,2,0,0,2,0,2,2,1,1,1,1
70,120045,0,1,2,0,1,0,0,0,0,0,0,0,0,0
71,120060,0,3,0,0,0,2,0,1,0,0,3,2,0,0
72,120070,0,0,1,0,1,0,0,0,0,1,0,0,1,1
73,130002,0,2,0,1,0,1,0,1,2,4,1,1,0,0
74,130006,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75,130010,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,130014,0,0,1,0,2,1,1,5,4,5,3,0,0,0
77,130020,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78,130030,0,0,0,0,0,0,0,0,1,0,1,0,1,0
79,130040,0,0,0,0,0,0,0,0,0,4,1,0,1,0
80,130050,0,0,3,6,1,5,4,2,5,3,2,4,1,2
81,130060,0,1,0,0,0,0,0,0,1,0,0,0,0,0
82,130063,0,0,0,0,0,0,0,1,0,0,0,1,0,1
83,130068,0,0,0,1,0,0,0,1,0,1,0,0,0,0
84,130070,0,1,0,0,1,1,1,1,1,0,2,0,1,1
85,130080,0,4,0,0,1,3,1,3,4,1,4,3,1,1
86,130083,0,0,0,0,0,0,0,1,0,0,0,0,0,2
87,130100,0,0,0,3,2,0,1,1,1,2,3,0,2,1
88,130110,0,0,0,0,0,0,0,3,1,2,3,1,1,0
89,130120,0,2,4,0,0,0,1,6,7,3,2,8,5,1
90,130130,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,130140,0,1,1,1,1,1,4,3,1,0,3,0,0,2
92,130150,0,0,1,0,0,0,0,1,0,0,0,0,1,0
93,130160,0,0,0,0,0,0,0,0,1,1,0,0,0,0
94,130165,0,1,1,2,0,0,0,0,0,1,2,1,1,1
95,130170,0,2,2,0,0,0,0,3,1,3,1,2,1,0
96,130180,0,0,0,0,1,0,0,0,1,0,1,0,1,0
97,130185,0,0,0,0,0,0,0,0,3,1,1,0,3,0
98,130190,0,1,1,0,0,2,8,4,2,0,14,9,9,1
99,130195,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100,130200,0,0,0,0,0,0,0,0,0,0,0,1,0,0
101,130210,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,130220,0,0,0,1,0,0,1,1,0,0,1,0,0,0
103,130230,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104,130240,0,1,0,0,0,0,0,0,1,0,0,1,3,1
105,130250,0,3,0,7,4,3,7,2,1,2,4,2,2,2
106,130255,0,0,0,0,0,0,0,0,0,0,1,0,0,0
107,130260,1,25,49,27,45,76,34,53,43,50,65,82,47,19
108,130270,0,0,1,0,0,0,1,0,0,0,1,0,0,1
109,130280,0,0,0,0,0,0,0,0,1,0,0,1,0,0
110,130290,1,5,5,5,8,7,7,2,0,10,9,11,5,1
111,130300,0,0,0,0,0,0,2,1,1,4,5,0,3,3
112,130310,0,0,4,3,1,2,3,1,0,0,0,3,0,1
113,130320,0,0,0,0,0,0,0,0,0,0,0,1,1,1
114,130330,0,0,0,2,2,0,3,0,0,0,0,0,0,0
115,130340,0,13,15,12,12,22,13,20,23,13,33,29,15,8
116,130350,0,0,0,0,0,0,0,0,1,2,0,1,0,0
117,130353,0,0,0,0,0,0,2,0,1,0,1,1,0,0
118,130356,0,0,0,0,0,0,0,0,0,0,2,0,0,0
119,130370,0,0,0,0,0,0,0,0,0,1,1,0,0,0
120,130380,0,0,2,2,0,0,0,0,0,1,3,2,1,1
121,130390,0,0,0,0,1,0,0,1,1,0,0,0,2,0
122,130395,0,0,0,0,2,0,0,1,0,0,1,0,2,0
123,130406,0,0,4,3,6,0,0,2,2,2,6,8,4,1
124,130410,0,0,0,0,0,0,0,0,1,1,1,2,0,0
125,130420,0,0,5,9,12,16,8,7,7,10,7,9,5,2
126,130426,0,0,0,0,0,0,0,0,0,0,1,0,0,0
127,130430,0,0,0,0,1,0,1,0,0,0,0,0,2,2
128,130440,0,0,0,0,1,2,0,0,0,1,0,0,0,0
129,140005,0,0,1,2,0,2,1,1,0,1,1,1,0,1
130,140002,0,0,0,1,1,0,0,0,0,0,0,0,0,0
131,140010,1,22,26,13,22,15,12,11,16,23,16,18,9,7
132,140015,0,2,1,2,2,0,0,0,0,0,1,1,1,0
133,140017,0,1,0,2,0,0,0,0,0,2,0,0,1,2
134,140020,0,0,1,1,3,2,1,1,1,1,0,0,0,1
135,140023,0,3,1,0,1,0,1,2,1,1,0,0,1,0
136,140028,0,0,0,0,0,0,0,1,0,1,0,0,0,0
137,140030,0,1,2,1,2,0,1,2,2,2,1,1,0,0
138,140040,0,0,0,0,0,1,0,1,0,0,0,0,2,0
139,140045,0,2,3,0,1,1,0,3,0,0,0,3,1,0
140,140047,0,1,0,0,0,1,1,4,1,1,4,3,3,3
141,140050,0,0,1,0,2,0,0,1,0,0,0,0,3,0
142,140060,0,0,0,0,0,0,0,1,0,0,1,0,1,1
143,140070,0,0,0,0,1,2,1,1,1,1,2,1,0,0
144,150010,0,10,14,19,12,11,14,18,25,21,7,8,9,1
145,150013,0,2,0,0,0,1,5,3,3,0,1,0,1,0
146,150020,0,2,2,7,4,6,8,8,10,5,8,10,4,1
147,150030,0,1,1,1,1,0,0,0,0,0,0,1,2,0
148,150034,0,1,0,0,0,0,1,3,4,4,0,1,1,0
149,150040,1,9,10,3,3,2,1,4,2,1,1,3,1,1
150,150050,0,10,4,2,2,5,0,0,0,4,6,3,3,1
151,150060,5,19,8,9,12,17,37,33,28,27,15,14,15,1
152,150070,0,2,2,3,0,3,0,12,5,7,8,3,6,1
153,150080,5,41,66,67,76,74,58,80,78,80,33,58,64,30
154,150085,1,0,1,0,0,3,3,5,1,5,0,7,0,1
155,150090,0,3,6,5,5,4,1,5,3,0,5,4,0,0
156,150095,0,7,7,11,3,2,5,4,7,2,4,3,3,1
157,150100,0,0,1,1,0,1,0,0,1,0,0,0,0,0
158,150110,0,1,1,6,4,1,1,6,3,5,4,5,0,1
159,150120,0,4,1,0,1,1,3,1,3,3,4,8,8,2
160,150125,0,0,0,0,0,0,0,0,0,1,1,0,0,0
161,150130,0,8,7,7,8,3,6,8,19,14,10,8,6,1
162,150140,7,119,107,144,119,154,111,106,125,120,93,71,72,26
163,150145,0,0,7,0,0,1,2,1,0,0,2,0,3,1
164,150150,0,6,1,6,11,6,10,14,10,15,6,7,7,3
165,150157,0,1,2,0,0,0,2,0,0,0,1,1,0,0
166,150160,0,3,2,0,2,3,1,2,1,0,1,1,2,0
167,150170,2,13,15,21,20,12,7,14,8,13,8,8,14,1
168,150172,0,2,3,3,2,1,2,0,1,2,3,0,0,1
169,150175,0,0,0,0,0,0,0,0,0,0,0,1,0,0
170,150178,0,1,6,7,1,4,2,2,2,5,2,3,5,2
171,150180,2,33,21,32,44,28,28,21,24,20,29,27,33,22
172,150190,1,1,1,1,5,2,6,3,5,2,4,3,2,0
173,150200,0,1,0,0,0,2,2,0,0,3,1,0,1,1
174,150195,0,1,3,3,1,0,0,4,3,2,4,2,1,0
175,150210,2,8,5,4,18,14,13,22,24,15,13,22,23,8
176,150215,0,0,1,0,2,7,7,2,10,7,7,6,2,0
177,150220,0,5,14,3,7,9,9,3,6,8,9,13,4,2
178,150230,2,6,7,11,5,7,5,11,9,14,13,7,4,3
179,150240,2,21,33,28,28,38,17,32,32,22,27,14,31,7
180,150250,0,0,0,0,1,1,0,2,0,2,0,0,0,0
181,150260,0,0,0,0,0,2,1,1,2,1,1,0,0,0
182,150270,0,0,2,4,3,7,12,7,7,5,2,3,6,4
183,150275,0,3,2,0,3,2,1,5,4,6,3,2,2,0
184,150276,0,1,3,1,0,1,1,0,1,1,2,0,0,0
185,150277,0,4,0,1,3,0,1,0,2,2,0,1,0,0
186,150280,0,3,0,3,1,4,2,4,6,5,1,6,10,1
187,150285,0,1,1,2,1,0,1,0,1,0,0,0,0,1
188,150290,0,2,2,1,3,2,6,3,5,1,5,4,1,0
189,150293,0,3,2,4,5,10,14,12,7,2,4,3,6,1
190,150295,0,3,1,3,3,1,0,0,2,0,0,3,0,0
191,150300,0,0,0,0,0,0,1,0,0,0,3,0,0,0
192,150304,1,1,0,2,0,1,0,0,1,0,0,1,1,0
193,150307,0,6,2,2,4,1,6,9,8,5,2,6,0,0
194,150309,0,1,2,8,4,2,2,6,0,2,0,1,1,0
195,150310,0,2,2,2,0,1,0,3,3,3,1,1,1,0
196,150320,1,4,2,5,3,3,4,7,4,7,10,2,3,1
197,150330,7,9,6,8,7,15,2,5,3,4,5,5,4,3
198,150340,0,3,3,1,0,3,1,1,3,1,1,1,4,0
199,150345,1,12,1,1,2,3,6,9,6,2,3,3,2,4
200,150350,0,3,3,0,1,3,4,4,5,1,3,4,0,0
201,150360,1,4,4,9,4,9,0,3,4,0,4,3,7,5
202,150370,0,2,5,0,2,0,0,1,1,0,2,4,3,1
203,150375,0,0,1,2,0,0,0,3,1,0,0,1,0,0
204,150380,0,3,5,5,5,5,2,2,2,1,1,4,2,0
205,150390,0,1,1,1,0,0,0,0,0,1,1,1,2,0
206,150400,2,1,3,3,0,2,2,4,1,2,1,2,0,0
207,150405,1,11,15,11,4,2,1,1,3,3,3,5,1,1
208,150410,0,0,1,0,0,0,0,0,2,2,0,1,1,0
209,150420,0,22,28,13,12,16,6,7,18,11,17,15,5,1
210,150430,0,4,2,2,0,1,2,2,3,2,6,3,3,0
211,150440,0,5,0,2,3,3,2,3,2,3,1,2,5,1
212,150442,1,14,5,4,13,13,16,18,23,15,14,15,9,7
213,150445,0,1,2,2,0,2,3,1,3,0,1,0,2,0
214,150450,0,3,5,6,5,5,4,8,3,4,8,5,4,3
215,150460,0,0,0,0,0,0,2,2,3,6,3,2,2,1
216,150470,0,15,10,11,17,9,10,7,7,21,11,18,14,12
217,150475,0,0,0,0,0,0,0,0,0,0,0,0,1,3
218,150480,0,3,8,10,7,10,4,6,12,0,6,17,7,7
219,150490,3,7,4,2,0,0,1,0,1,7,5,9,0,0
220,150495,0,11,6,2,1,1,2,6,6,6,3,2,4,1
221,150497,0,2,0,0,0,0,1,0,0,1,0,1,2,0
222,150500,0,0,0,0,1,0,1,2,1,0,1,1,0,2
223,150503,0,2,1,1,2,4,2,4,5,4,5,7,3,1
224,150506,0,4,3,0,2,1,2,1,3,1,3,1,2,1
